SEX,AGE,EMOT,WHEN,LONG,INTS,ERGO,TROPHO,TEMPER,EXPRES,MOVE,EXP1,EXP2,EXP10,PARAL,CON,EXPC,PLEA,SELF,RELA,VERBAL,Field1
2,23,3,4,3,4,2,0,2,1,1,0,0,0,1,1,1,3,1,0,3,3
1,24,3,4,3,2,1,0,0,0,1,0,0,0,0,1,1,3,3,0,1,3
2,18,3,3,4,3,2,0,2,1,0,0,0,1,2,1,1,3,0,1,3,3
2,18,3,4,3,4,3,1,0,1,0,0,0,1,2,2,1,3,1,1,3,3
1,21,3,4,4,3,0,0,0,0,0,0,0,0,0,2,2,3,2,2,0,3
2,18,3,2,4,4,3,1,2,2,1,0,0,1,0,2,2,3,1,1,2,3
1,24,3,4,2,2,1,0,0,1,1,0,1,0,0,2,1,3,1,2,1,3
2,31,3,4,4,4,4,1,0,2,1,0,1,0,0,2,1,3,1,1,3,3
1,21,3,3,1,2,1,0,0,4,1,0,0,0,1,1,2,3,2,1,3,3
1,21,3,4,4,4,0,0,2,1,0,0,1,0,0,3,0,3,3,3,0,3
1,22,3,3,3,2,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,3
2,20,3,3,3,3,3,0,2,1,0,0,0,1,1,2,2,2,2,1,3,3
1,21,3,3,3,3,0,0,2,0,0,0,0,0,0,3,2,3,1,1,0,3
1,28,3,4,4,4,3,1,2,1,1,0,1,1,2,3,1,3,1,1,1,3
1,24,3,3,4,4,2,1,0,0,1,0,0,0,0,1,2,3,1,2,0,3
1,28,3,1,2,2,0,0,0,1,0,0,0,0,0,2,1,3,2,1,0,3
2,21,3,3,4,4,3,0,2,2,1,0,0,0,0,2,1,3,1,1,0,3
1,21,3,2,1,2,1,0,2,1,1,0,0,0,1,2,1,3,2,2,1,3
1,22,3,4,3,4,2,1,0,3,0,1,0,1,1,2,1,3,3,1,1,3
1,24,3,4,4,4,4,1,0,1,0,0,0,1,1,1,1,3,3,1,0,3
1,22,3,4,4,4,2,0,0,2,1,0,0,1,1,1,1,3,3,3,0,3
2,18,3,1,2,2,0,0,2,1,0,0,0,0,0,2,1,0,1,2,0,3
2,19,3,4,3,4,1,0,0,1,0,0,0,0,1,1,1,3,2,0,0,3
2,22,3,1,3,3,2,2,0,3,1,0,0,0,3,2,1,3,0,0,3,3
2,20,3,1,3,2,3,0,0,2,1,1,0,0,0,2,1,3,2,1,0,3
1,21,3,2,4,4,4,0,2,1,1,0,1,0,0,1,2,3,3,0,1,3
2,22,3,2,1,2,0,0,0,1,0,0,0,0,1,2,2,3,0,3,0,3
2,19,3,3,3,3,3,1,2,2,0,0,1,1,1,1,1,3,3,2,0,3
2,24,3,4,4,3,4,1,2,3,0,0,1,0,1,1,1,3,1,3,3,3
1,30,3,3,3,3,3,0,2,1,0,0,0,1,1,1,2,3,0,1,0,3
2,21,3,2,2,4,3,0,2,2,1,0,0,1,0,1,1,3,3,3,3,3
1,28,3,3,4,3,0,0,0,1,0,1,0,0,0,3,1,3,3,2,0,3
1,19,3,3,1,4,2,0,0,1,1,0,0,1,1,2,1,3,2,2,0,3
1,20,3,3,3,3,1,0,0,0,0,0,0,0,0,2,1,3,0,1,3,3
2,18,3,1,2,2,0,0,0,1,0,0,0,0,0,1,2,3,2,1,1,3
1,23,3,4,4,4,1,1,0,3,0,0,1,0,0,2,1,3,1,2,2,3
1,22,3,1,4,4,3,0,2,2,1,0,0,0,0,1,1,3,2,2,3,3
2,23,3,1,4,3,3,1,2,2,0,0,0,1,2,1,2,3,1,1,3,3
2,20,3,3,2,2,1,0,0,0,1,0,0,0,0,2,2,2,2,2,2,3
2,18,3,1,2,3,1,0,2,2,0,1,1,1,1,3,0,3,2,0,0,3
2,18,3,2,4,4,3,1,1,4,1,0,0,1,2,2,2,3,3,1,3,3
1,22,3,1,1,4,3,0,2,2,1,0,0,1,0,1,1,3,3,3,3,3
2,20,3,3,3,3,1,0,0,0,0,0,0,0,1,2,1,3,1,1,0,3
2,28,3,3,4,3,2,0,2,1,0,0,0,0,0,1,2,3,1,1,1,3
2,21,3,3,3,2,1,0,0,0,0,0,0,0,0,3,2,3,1,1,0,3
2,19,3,2,3,2,0,1,0,2,1,0,1,0,0,1,1,3,2,1,3,3
1,19,3,1,2,4,3,0,2,1,1,0,0,0,0,1,1,3,3,2,3,3
1,26,3,3,4,4,1,1,0,1,0,0,1,0,0,2,1,3,1,1,0,3
2,24,3,3,1,3,2,1,2,3,0,0,1,0,2,1,2,3,1,1,3,3
1,23,3,2,4,4,3,0,0,0,0,0,0,0,2,1,1,3,3,1,3,3
2,21,3,4,4,4,2,0,2,2,0,0,0,1,1,0,2,3,0,0,0,3
1,23,3,3,4,3,1,0,0,1,0,0,0,0,0,3,3,3,1,1,0,3
2,23,3,2,4,3,1,0,2,0,1,0,0,1,0,2,2,3,1,1,0,3
2,29,3,2,1,1,0,0,0,1,0,0,0,0,0,3,1,3,0,2,0,3
1,20,3,1,3,4,4,0,2,3,0,0,0,0,2,1,2,3,2,0,3,3
2,22,3,1,2,2,0,0,0,1,0,0,0,0,0,2,1,3,2,2,0,3
2,21,3,2,1,3,0,0,2,1,0,0,0,0,0,1,1,3,0,2,1,3
1,23,3,2,2,2,3,0,0,4,1,0,1,0,0,2,2,1,2,2,3,3
2,22,3,3,4,4,2,0,2,1,1,0,0,0,0,1,1,3,0,1,0,3
2,20,3,2,2,2,2,0,0,1,1,0,0,0,0,2,2,3,1,2,2,3
2,24,3,3,2,2,1,0,0,0,1,0,0,0,0,2,1,2,2,2,2,3
2,22,3,3,4,4,3,0,0,1,1,0,1,0,1,1,1,3,1,1,0,3
2,20,3,1,2,3,1,0,0,2,0,1,0,0,0,1,3,3,0,1,1,3
2,24,3,2,1,1,0,0,0,1,1,0,0,0,1,2,1,3,0,0,0,3
2,22,3,1,2,2,3,0,1,2,0,1,0,0,1,2,1,3,2,1,3,3
2,22,3,2,3,3,1,0,0,1,0,1,0,0,0,3,2,3,2,2,0,3
2,22,3,4,4,1,1,0,0,1,0,0,1,0,0,2,2,3,1,1,2,3
2,23,3,1,2,4,2,0,2,1,0,0,0,1,1,2,2,3,2,1,0,3
2,22,3,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,3,3
2,22,3,4,4,3,0,0,0,0,0,0,0,0,0,1,3,3,0,0,1,3
2,21,3,2,4,3,0,0,0,0,0,0,0,0,0,2,2,3,2,2,0,3
2,20,3,3,4,3,3,0,0,0,0,0,0,0,2,1,1,3,1,1,2,3
2,20,3,4,1,3,1,0,0,0,1,0,0,0,0,1,2,3,0,0,2,3
2,23,3,1,4,3,0,0,0,0,0,0,0,0,2,2,1,3,2,2,3,3
2,21,3,2,4,3,1,0,0,0,0,0,0,0,0,3,3,3,0,2,0,3
2,20,3,2,4,3,1,0,2,2,0,0,1,0,0,1,1,3,2,2,0,3
2,21,3,3,4,4,0,0,0,0,1,0,0,0,0,2,1,3,1,1,0,3
1,20,3,2,3,3,2,0,2,2,0,0,0,1,2,1,2,3,2,1,0,3
1,22,3,4,3,3,1,0,0,1,0,0,0,0,0,3,1,3,3,0,2,3
1,21,3,1,4,3,3,0,2,2,1,0,0,0,3,1,1,3,2,1,2,3
1,21,3,1,1,3,0,0,0,1,0,0,0,0,0,1,1,3,0,0,3,3
2,23,3,3,2,3,2,0,2,0,1,0,0,0,0,2,1,3,0,0,2,3
2,27,3,1,1,1,0,0,0,1,0,0,0,0,0,1,3,2,0,2,2,3
1,20,3,2,4,4,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,3
1,24,3,2,1,3,3,0,2,3,0,0,0,0,1,2,2,3,1,1,3,3
1,20,3,3,4,4,1,0,2,2,0,0,1,0,0,3,2,3,3,1,2,3
2,21,3,1,2,2,1,1,1,3,0,1,0,0,3,3,1,2,2,2,0,3
1,27,3,1,3,2,0,0,0,0,0,0,0,1,0,1,2,2,2,1,0,3
2,22,3,4,4,3,0,0,1,0,0,0,0,1,0,2,2,3,1,1,0,3
1,24,3,1,3,3,2,0,0,1,0,0,0,1,1,1,2,3,2,2,0,3
2,22,3,1,4,4,1,0,0,1,0,0,1,0,0,3,2,3,0,2,0,3
2,22,3,1,1,1,0,1,0,2,0,0,1,0,0,1,2,3,2,3,3,3
1,23,3,3,3,3,1,0,2,1,0,0,0,0,0,1,1,3,1,1,3,3
2,23,3,1,1,1,0,0,0,4,0,0,0,0,0,1,1,3,0,1,3,3
1,22,3,1,3,2,0,0,0,0,0,0,0,0,0,1,0,3,3,2,2,3
1,20,3,1,1,3,3,0,0,0,1,0,0,1,2,1,3,3,3,1,3,3
1,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,21,3,4,3,3,1,0,0,2,1,0,0,0,0,3,1,3,2,1,2,3
1,29,3,4,4,3,0,0,1,1,0,0,0,0,0,1,1,3,1,1,3,3
2,26,3,3,4,3,2,0,0,3,1,0,0,0,1,3,3,3,0,0,0,3
2,21,3,3,1,4,4,0,2,3,1,0,0,1,1,1,1,1,3,1,3,3
1,26,3,1,2,3,0,1,0,0,0,0,0,1,1,2,2,3,2,2,0,3
1,24,3,3,2,2,0,0,2,0,0,0,0,0,0,2,1,3,2,2,0,3
1,20,3,2,1,3,3,0,0,1,0,0,0,1,1,1,1,3,2,1,2,3
2,33,3,3,4,4,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,3
2,22,3,4,4,3,1,0,2,3,0,0,1,1,1,1,1,3,1,2,3,3
2,21,3,4,4,3,0,0,0,0,0,0,0,0,0,2,1,3,3,1,0,3
2,26,3,0,0,0,0,1,0,1,0,0,0,0,0,1,2,3,1,0,0,3
1,26,3,3,4,4,4,0,0,2,1,0,0,0,2,1,1,3,1,1,3,3
2,22,3,3,4,3,0,1,2,1,1,0,0,0,2,1,2,3,0,1,3,3
2,20,3,4,4,3,2,1,2,1,0,0,1,0,2,2,1,3,1,1,3,3
2,22,3,4,4,3,2,1,0,1,0,0,1,0,0,2,1,3,1,2,1,3
2,23,3,2,1,3,2,0,0,0,1,0,0,0,0,1,2,3,0,0,1,3
1,24,3,1,2,2,1,0,0,1,0,0,0,0,0,1,2,3,0,1,3,3
2,26,3,4,3,3,4,0,2,3,0,0,0,1,3,2,1,3,3,2,3,3
1,28,3,4,4,2,1,1,0,0,1,0,0,0,0,3,2,3,2,2,0,3
1,28,3,4,3,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3
1,23,3,4,4,4,0,0,2,0,0,0,0,1,0,1,1,3,3,0,0,3
2,22,3,1,4,3,0,0,0,1,0,0,0,0,1,1,1,3,0,0,0,3
1,28,3,2,4,4,0,0,2,1,0,0,0,0,1,2,1,3,2,2,0,3
2,20,3,2,2,2,1,0,2,2,0,0,0,0,1,3,2,3,2,1,2,3
2,21,3,3,4,3,3,1,0,1,1,0,1,0,0,3,1,3,3,1,3,3
2,22,3,1,3,3,2,0,0,3,0,0,0,0,1,1,2,1,3,0,3,3
2,20,3,4,1,1,0,0,0,0,0,0,0,0,0,1,1,3,2,0,3,3
2,19,3,3,4,4,1,1,1,1,1,0,0,1,2,1,2,3,2,1,3,3
2,20,3,3,3,4,0,1,0,1,0,0,0,0,0,3,1,3,2,1,0,3
1,23,3,2,3,3,2,1,1,1,0,0,0,1,0,1,3,3,3,1,3,3
2,35,3,4,4,4,4,1,2,5,1,0,1,1,2,1,1,3,1,1,3,3
1,35,3,1,1,4,4,0,2,2,0,0,0,1,0,2,1,3,1,1,2,3
1,34,3,3,3,3,1,0,0,0,0,0,0,0,0,1,2,3,2,1,2,3
2,22,3,4,4,4,0,0,2,0,1,0,0,0,0,3,1,3,1,1,0,3
2,35,3,2,2,4,3,1,2,3,1,0,0,0,3,3,2,3,3,1,2,3
2,22,3,1,2,3,1,0,2,2,0,0,0,0,1,2,1,3,3,2,3,3
2,22,3,2,3,2,0,0,0,1,1,0,0,0,0,1,1,2,2,2,1,3
2,21,3,4,4,3,1,0,0,0,1,0,0,0,0,3,1,3,1,0,2,3
2,26,3,2,4,3,0,0,0,1,0,0,1,0,0,3,1,3,0,1,0,3
2,21,3,2,1,2,0,0,0,1,0,0,0,0,0,1,1,3,2,2,2,3
2,21,3,1,1,3,2,1,2,2,0,0,0,0,2,2,2,3,2,2,0,3
2,25,3,1,4,2,2,0,0,3,0,0,0,0,1,1,2,3,3,2,3,3
1,24,3,1,3,3,1,0,2,1,0,0,0,0,0,2,3,3,1,1,0,3
1,23,3,3,4,3,0,0,0,1,0,0,0,0,0,2,2,3,3,1,3,3
1,22,3,1,4,3,0,0,2,1,0,0,0,0,1,2,1,3,1,1,0,3
1,20,3,2,4,2,0,0,0,0,0,0,0,0,0,1,1,3,2,2,0,3
2,20,3,4,4,4,0,1,0,1,0,0,1,0,0,1,1,3,1,1,3,3
1,22,3,2,1,2,0,0,2,0,0,0,0,0,0,1,1,3,2,2,3,3
1,23,3,4,4,4,1,0,0,0,0,0,0,0,0,3,2,3,2,1,0,3
2,18,3,4,2,3,0,0,2,1,0,0,0,0,0,1,2,3,3,2,2,3
2,19,3,4,4,4,2,0,0,0,0,0,0,0,1,2,2,3,1,2,3,3
2,19,3,4,4,3,2,0,0,1,0,0,0,1,2,1,1,3,1,1,3,3
2,18,3,3,2,4,1,0,0,1,0,0,0,1,0,1,1,3,2,2,3,3
2,20,3,1,3,3,0,0,0,0,0,0,0,1,1,1,2,3,2,2,3,3
2,24,3,3,4,3,3,1,2,2,1,0,0,0,0,2,1,3,1,1,0,3
2,20,3,4,3,2,0,1,0,0,0,0,0,0,0,3,1,3,0,0,0,3
1,22,3,1,2,1,1,0,0,1,0,0,0,1,0,1,1,3,3,2,0,3
2,24,3,3,4,3,1,1,1,3,0,0,0,0,1,2,1,3,1,1,1,3
2,19,3,1,4,4,0,1,2,1,0,0,0,0,0,1,1,3,1,1,0,3
2,20,3,1,1,1,1,0,2,2,0,1,0,0,1,2,2,2,2,2,1,3
2,18,3,2,4,4,0,0,1,1,0,0,0,0,1,1,1,3,3,1,0,3
2,26,3,4,4,4,1,1,1,0,0,0,0,0,0,1,1,3,2,2,0,3
2,18,3,1,3,4,4,0,1,1,0,0,1,0,0,2,1,3,0,1,0,3
2,21,3,3,1,3,1,1,0,1,0,0,0,0,0,3,1,3,1,2,0,3
2,27,3,2,4,3,1,1,0,1,1,0,1,0,1,1,2,3,2,1,1,3
2,18,3,2,4,2,2,0,0,0,1,0,0,0,0,2,1,3,1,1,2,3
1,27,3,3,3,3,3,0,0,0,0,0,0,1,2,1,1,3,1,1,2,3
2,20,3,2,3,4,2,1,2,1,1,0,0,1,0,3,1,3,0,2,2,3
1,21,3,1,1,3,4,0,2,1,0,0,0,1,1,1,2,3,2,2,1,3
1,25,3,1,1,3,2,0,2,2,0,0,0,0,0,1,1,3,2,0,2,3
2,22,3,3,4,4,3,1,2,2,1,0,1,0,0,1,1,3,1,1,2,3
1,18,3,2,4,4,1,0,1,1,0,0,0,0,1,1,3,3,3,1,0,3
2,18,3,4,4,3,2,0,2,1,0,0,0,1,0,1,1,3,3,1,1,3
2,18,3,3,1,4,2,0,0,2,0,0,0,0,0,2,1,3,2,2,1,3
2,18,3,3,3,4,2,0,1,2,0,0,0,0,0,1,1,3,2,2,0,3
2,22,3,2,4,3,0,0,2,1,0,0,0,1,1,1,1,3,2,1,3,3
1,25,3,2,1,4,1,0,2,2,0,0,0,1,2,1,1,3,1,2,0,3
2,20,3,3,3,2,0,1,0,2,0,0,0,0,0,1,1,3,3,3,3,3
2,18,3,1,3,4,3,0,0,1,0,0,0,1,0,1,2,3,2,1,0,3
2,19,3,3,4,3,0,0,0,1,0,0,0,0,0,1,1,3,1,2,0,3
2,18,3,4,4,4,2,0,1,2,1,0,0,1,1,1,1,3,2,1,3,3
1,20,3,2,1,4,2,0,1,3,1,0,0,1,1,1,1,0,2,2,2,3
2,20,3,1,1,2,0,0,0,1,0,0,0,0,0,2,1,3,2,2,0,3
2,18,3,4,4,4,3,0,0,2,0,0,0,1,1,1,2,3,2,0,3,3
2,18,3,1,3,4,3,0,2,1,1,0,0,0,0,1,1,3,1,1,3,3
2,20,3,2,3,4,3,1,0,1,0,0,0,0,0,3,1,3,1,1,0,3
2,18,3,4,4,3,3,1,2,0,0,0,0,0,0,1,1,3,1,1,0,3
2,19,3,3,3,2,2,1,0,2,1,0,1,0,0,2,1,3,2,3,0,3
1,24,3,1,1,3,2,0,2,2,0,0,0,0,1,1,1,3,2,1,3,3
1,19,3,2,4,3,3,0,2,1,0,1,0,0,0,3,1,3,1,1,2,3
2,21,3,2,4,4,1,0,0,1,0,0,0,0,0,1,1,3,1,3,3,3
2,21,3,2,3,4,0,0,0,1,0,0,0,1,0,2,1,3,0,2,1,3
1,19,3,3,4,4,3,0,0,2,0,0,0,1,2,1,1,3,2,1,1,3
2,20,3,4,3,2,3,1,0,2,0,0,0,0,1,1,1,3,1,0,0,3
2,19,3,4,4,3,2,0,2,2,0,0,0,1,1,2,1,3,1,1,3,3
1,21,3,1,1,2,1,0,0,0,0,0,0,1,1,1,3,3,0,1,3,3
2,19,3,1,1,2,0,0,0,1,0,0,0,0,0,1,1,2,1,1,0,3
2,18,3,1,4,3,2,0,2,3,0,0,0,1,1,1,1,3,2,1,3,3
2,22,3,2,3,4,1,0,1,3,0,0,0,1,0,2,1,3,1,2,1,3
2,19,3,4,2,4,3,0,0,1,0,0,0,1,0,1,2,1,1,1,0,3
2,26,3,2,3,3,1,0,0,1,0,0,0,1,2,2,1,3,2,1,1,3
2,21,3,3,4,3,1,1,0,2,1,0,1,0,1,3,1,3,1,1,0,3
1,23,3,3,4,4,0,0,0,0,0,0,0,1,0,1,1,3,0,3,1,3
2,22,3,1,1,3,2,0,0,3,0,0,0,0,2,1,2,3,2,1,3,3
2,22,3,3,3,4,3,1,0,2,1,0,1,0,2,1,1,3,1,2,1,3
2,24,3,1,1,2,1,1,2,1,1,0,0,0,0,1,2,3,1,2,1,3
2,18,3,3,3,4,1,0,2,2,0,0,1,1,2,1,2,3,1,1,3,3
1,20,3,2,4,3,3,0,2,0,0,0,0,0,0,1,0,3,2,1,3,3
1,22,3,1,1,4,2,0,0,3,0,0,0,1,1,1,2,3,2,2,0,3
1,24,3,1,1,2,3,0,0,1,0,0,0,0,0,1,1,3,2,1,0,3
1,21,3,2,4,3,1,0,2,2,0,0,0,1,0,1,0,3,3,3,2,3
1,23,3,2,1,3,2,1,0,3,0,0,0,0,2,1,1,3,2,2,2,3
1,22,3,2,1,3,2,0,0,1,1,0,0,1,1,1,1,3,2,2,2,3
1,18,3,2,2,3,3,0,1,1,0,0,0,0,0,3,2,3,2,1,0,3
1,25,3,1,1,1,1,1,0,1,1,1,0,0,0,2,1,2,2,2,3,3
1,22,3,2,1,2,3,0,0,1,1,0,0,0,2,1,2,3,2,3,2,3
1,21,3,1,1,4,2,0,2,2,0,0,0,1,2,1,2,3,3,1,0,3
1,22,3,1,1,3,1,0,0,2,0,0,0,1,2,1,1,2,2,2,3,3
1,20,3,2,4,4,3,0,0,2,1,0,0,1,0,1,1,3,2,3,2,3
1,21,3,4,2,2,2,0,0,0,0,0,0,0,0,3,2,3,2,2,0,3
1,20,3,3,2,3,0,1,0,0,0,0,0,0,1,3,1,3,2,2,2,3
1,21,3,2,2,3,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,3
2,21,3,4,3,4,3,1,0,1,1,0,0,0,1,2,2,3,1,1,0,3
1,20,3,1,2,3,3,0,0,3,1,0,0,0,0,1,1,3,0,3,2,3
2,20,3,3,4,4,1,1,0,2,1,0,0,0,0,3,1,3,0,1,0,3
2,20,3,3,3,3,1,1,2,4,0,0,1,0,0,1,1,3,1,3,2,3
2,18,3,3,4,4,2,0,0,1,0,0,0,1,1,1,1,3,2,1,3,3
2,21,3,2,3,4,3,1,2,2,0,0,0,1,0,1,1,3,1,1,3,3
2,20,3,3,1,3,1,0,0,1,0,0,0,0,0,1,2,3,2,2,0,3
2,19,3,2,4,4,3,0,0,1,0,0,0,1,0,1,2,3,2,1,0,3
2,21,3,4,4,4,2,1,2,2,0,0,0,0,1,1,1,3,1,1,0,3
2,19,3,1,1,3,3,0,1,2,0,0,0,0,2,1,1,3,2,1,3,3
2,20,3,2,4,3,2,1,0,3,0,0,0,0,0,3,1,3,2,1,1,3
2,22,3,3,4,4,2,1,2,2,1,0,0,0,0,1,1,3,1,1,3,3
2,21,3,4,4,4,2,0,0,1,0,0,1,0,0,0,0,3,1,1,0,3
2,21,3,4,4,3,3,1,1,2,0,0,1,0,0,3,1,3,2,1,0,3
2,31,3,3,2,3,2,0,0,1,0,0,0,1,0,1,1,3,2,0,0,3
1,20,3,1,1,4,3,0,2,2,1,0,0,1,2,1,2,3,2,2,3,3
2,18,3,1,2,2,0,0,0,3,0,0,0,0,0,2,1,3,0,1,0,3
1,25,3,1,1,3,0,0,0,0,0,0,0,0,0,2,1,3,2,2,0,3
2,19,3,1,2,3,0,0,0,1,0,0,0,1,0,1,1,3,2,2,0,3
2,22,3,3,4,4,3,0,2,2,1,0,0,0,0,2,1,3,1,1,0,3
2,21,3,2,4,3,0,0,0,2,0,0,0,0,0,2,1,3,2,1,3,3
2,19,3,1,2,1,1,1,1,1,1,0,0,0,1,3,1,3,0,1,1,3
2,23,3,4,4,3,0,0,0,0,0,0,0,0,0,2,1,3,2,1,0,3
2,27,3,2,4,4,2,1,2,1,0,0,0,1,2,1,2,3,1,1,3,3
2,22,3,2,2,3,0,0,0,1,1,0,1,0,0,1,1,3,0,1,0,3
1,19,3,1,1,3,0,0,1,4,0,1,0,0,0,1,3,2,3,2,0,3
2,19,3,4,1,1,2,0,2,2,0,0,0,0,1,1,1,3,1,2,0,3
2,27,3,3,2,3,3,0,2,1,0,0,1,0,0,2,1,3,1,1,0,3
1,24,3,3,4,3,1,2,0,2,0,0,0,0,1,1,1,3,1,1,0,3
2,20,3,1,2,2,1,1,2,2,0,0,0,1,2,1,2,3,1,2,2,3
1,24,3,3,4,4,3,1,2,2,1,0,0,0,1,1,1,3,1,1,0,3
2,18,3,1,2,1,1,0,0,1,1,0,0,0,0,3,1,3,2,3,0,3
2,18,3,4,4,3,2,0,0,0,1,0,0,0,0,2,1,3,1,1,1,3
1,22,3,3,3,4,1,1,0,3,1,0,0,0,0,3,1,3,1,1,0,3
2,18,3,4,4,2,1,0,0,0,0,0,0,1,0,3,3,3,1,3,0,3
2,18,3,4,4,3,3,2,0,2,0,0,0,0,1,1,1,3,1,1,0,3
1,25,3,4,4,4,1,1,2,3,0,0,0,1,0,2,2,3,1,1,0,3
2,18,3,3,4,4,4,0,0,2,1,0,1,1,0,2,1,3,2,1,1,3
1,24,3,3,4,2,0,0,0,1,0,0,0,0,1,3,1,3,0,1,0,3
1,21,3,4,4,4,1,1,0,3,0,0,1,0,1,2,1,3,3,2,0,3
1,22,3,3,2,2,3,1,0,3,0,0,0,0,2,1,1,3,2,2,3,3
1,23,3,4,4,3,0,0,0,0,0,0,0,0,1,3,1,3,1,1,0,3
